Q(s, a): [(1, 1), (1, 1), (False, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (1, 1), (False, True)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (1, 1), (True, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (1, 1), (True, True)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (1, 2), (False, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (1, 2), (False, True)]{'East': 44.795, 'North': -501.0, 'Stop': -501.0} 
Q(s, a): [(1, 1), (1, 2), (True, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (1, 2), (True, True)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (1, 3), (False, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (1, 3), (False, True)]{'East': -332.145, 'North': -501.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (1, 3), (True, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (1, 3), (True, True)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (1, 4), (False, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (1, 4), (False, True)]{'East': -12.277, 'North': -148.673, 'Stop': -451.9} 
Q(s, a): [(1, 1), (1, 4), (True, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (1, 4), (True, True)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (1, 5), (False, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (1, 5), (False, True)]{'East': -299.931, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (1, 5), (True, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (1, 5), (True, True)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (2, 1), (False, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (2, 1), (False, True)]{'East': -501.0, 'North': -14.313, 'Stop': -501.0} 
Q(s, a): [(1, 1), (2, 1), (True, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (2, 1), (True, True)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (2, 5), (False, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (2, 5), (False, True)]{'East': -128.565, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (2, 5), (True, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (2, 5), (True, True)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (3, 1), (False, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (3, 1), (False, True)]{'East': -501.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (3, 1), (True, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (3, 1), (True, True)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (3, 3), (False, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (3, 3), (False, True)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (3, 3), (True, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (3, 3), (True, True)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (3, 5), (False, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (3, 5), (False, True)]{'East': -53.517, 'North': -407.71, 'Stop': 0.0} 
Q(s, a): [(1, 1), (3, 5), (True, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (3, 5), (True, True)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (4, 1), (False, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (4, 1), (False, True)]{'East': -451.9, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (4, 1), (True, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (4, 1), (True, True)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (4, 3), (False, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (4, 3), (False, True)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (4, 3), (True, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (4, 3), (True, True)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (4, 5), (False, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (4, 5), (False, True)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (4, 5), (True, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (4, 5), (True, True)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (5, 1), (False, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (5, 1), (False, True)]{'East': -451.9, 'North': -181.201, 'Stop': 0.0} 
Q(s, a): [(1, 1), (5, 1), (True, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (5, 1), (True, True)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (5, 2), (False, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (5, 2), (False, True)]{'East': -407.71, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (5, 2), (True, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (5, 2), (True, True)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (5, 3), (False, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (5, 3), (False, True)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (5, 3), (True, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (5, 3), (True, True)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (5, 4), (False, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (5, 4), (False, True)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (5, 4), (True, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (5, 4), (True, True)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (5, 5), (False, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (5, 5), (False, True)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (5, 5), (True, False)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 1), (5, 5), (True, True)]{'East': 0.0, 'North': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (1, 1), (False, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (1, 1), (False, True)]{'North': 8.756, 'South': -501.0, 'Stop': -501.0} 
Q(s, a): [(1, 2), (1, 1), (True, False)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
Q(s, a): [(1, 2), (1, 1), (True, True)]{'North': 0.0, 'South': 0.0, 'Stop': 0.0} 
